price,city,adress,description,chambr,sale_de_bain,surface
"<div class=""search-results-listings-list__item-description__price"">
<h2>469 000 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>St-Jérôme (Lafontaine)</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    2197, boulevard Lafontaine
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Bungalow à vendre – Superbe clé en main. Bien rénové au complet.
4 chambres à coucher, 2...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>",
"<div class=""search-results-listings-list__item-description__price"">
<h2>559 000 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>Mascouche</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    333, croissant de Bourguignon
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Maison 2 étages à vendre – Superbe maison au coeur d'un secteur très jeune et dynamique! Cette...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>",
"<div class=""search-results-listings-list__item-description__price"">
<h2>259 900 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>Gatineau (Aylmer)</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    301-90, chemin Eardley
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Condo à vendre – DISPONIBLE DÈS MAINTENANT!! Beau condo, 3 chambres à coucher RÉNOVÉ à...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>",
,,,,,,
"<div class=""search-results-listings-list__item-description__price"">
<h2>234 900 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>Gatineau (Aylmer)</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    402-88, rue Front
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Condo à vendre – Bienvenu au 88 rue Front, ce Condo est situé dans un environnement familial à...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>",
"<div class=""search-results-listings-list__item-description__price"">
<h2>364 500 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>Brossard</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    202-9175, rue Lennon
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Condo à vendre – Condo 3  <sup>1/2</sup>  moderne, sur le 2e étage, près de la Dix30 et le...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>",
"<div class=""search-results-listings-list__item-description__price"">
<h2>849 000 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>Beloeil</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    453, boulevard Yvon-L'Heureux Nord
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Bungalow à vendre – Rareté sur le marché : maison neuve avec grand terrain et cour intime!...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>",
"<div class=""search-results-listings-list__item-description__price"">
<h2>425 000 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>Fabreville</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    22-4497, boulevard Dagenais Ouest
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Condo à vendre – Très joli condo RÉNOVÉ situé sur Dagenais près de l'autoroute 13 à...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>",
"<div class=""search-results-listings-list__item-description__price"">
<h2>230 000 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>Les Éboulements</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    449, chemin Catherine-Delzenne
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Terrain résidentiel à vendre – Magnifique terrain entièrement déboisé situé aux...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Taille du terrain</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Taille du terrain</div>",
"<div class=""search-results-listings-list__item-description__price"">
<h2>410 000 $</h2>
</div>","<h3 class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__city"">
<span>Limoilou</span>
</h3>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__address"">
                    9-1100, rue Cadillac
                </div>","<div class=""search-results-listings-list__item-description__item search-results-listings-list__item-description__type-and-intro"">
                                                Condo à vendre – Bien situé, face à la rivière et le parc plein d'arbres
Bien isolé et sans...
                    </div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>","<div class=""search-results-listings-list__item-description__characteristics-popover"">Chambres</div>",
