titre_film,date_sortie,id_film,genres_liste,durée,utilisateur_note,nbre_utilisateur_note
Black Panther,(2018),1,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88
Aquaman,(2018),2,"['Action', ' Adventure', ' Fantasy']",143,6.8,55
Avengers: Infinity War,(2018),3,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,68
Deadpool 2,(2018),4,"['Action', ' Adventure', ' Comedy']",119,7.7,66
Hereditary,(2018),5,"['Drama', ' Horror', ' Mystery']",127,7.3,87
The Grinch,(2018),6,"['Animation', ' Comedy', ' Family']",85,6.3,51
Suspiria,(I) (2018),7,"['Drama', ' Fantasy', ' Horror']",152,6.7,64
Mile 22,(2018),8,"['Action', ' Thriller']",94,6.1,38
Spider-Man: Into the Spider-Verse,(2018),9,"['Animation', ' Action', ' Adventure']",117,8.4,87
Green Book,(2018),10,"['Biography', ' Comedy', ' Drama']",130,8.2,69
Ready Player One,(2018),11,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64
Venom,(2018),12,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35
A Quiet Place,(2018),13,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82
Bohemian Rhapsody,(2018),15,"['Biography', ' Drama', ' Music']",134,7.9,49
Red Sparrow,(2018),16,"['Action', ' Drama', ' Thriller']",140,6.6,53
Annihilation,(I) (2018),17,"['Adventure', ' Drama', ' Horror']",115,6.8,79
Lizzie,(2018),18,"['Biography', ' Crime', ' Drama']",105,5.9,59
Mission: Impossible - Fallout,(2018),19,"['Action', ' Adventure', ' Thriller']",147,7.7,86
The Ballad of Buster Scruggs,(2018),20,"['Comedy', ' Drama', ' Musical']",133,7.3,79
Burning,(2018),21,"['Drama', ' Mystery', ' Thriller']",148,7.5,90
The Christmas Chronicles,(2018),22,"['Adventure', ' Comedy', ' Family']",104,7.0,52
A Star Is Born,(2018),23,"['Drama', ' Music', ' Romance']",136,7.6,88
The Favourite,(2018),24,"['Biography', ' Comedy', ' Drama']",119,7.5,91
Under the Silver Lake,(2018),25,"['Crime', ' Drama', ' Mystery']",139,6.5,60
Fifty Shades Freed,(2018),26,"['Drama', ' Romance', ' Thriller']",105,4.5,31
Den of Thieves,(2018),27,"['Action', ' Crime', ' Drama']",140,7.0,49
Game Night,(I) (2018),28,"['Action', ' Adventure', ' Comedy']",100,6.9,66
A Simple Favor,(2018),29,"['Comedy', ' Crime', ' Mystery']",117,6.8,67
Mandy,(I) (2018),30,"['Action', ' Fantasy', ' Horror']",121,6.5,81
Ant-Man and the Wasp,(2018),31,"['Action', ' Adventure', ' Comedy']",118,7.0,70
Night Hunter,(2018),32,"['Action', ' Thriller']",98,5.9,31
Bad Times at the El Royale,(2018),33,"['Crime', ' Drama', ' Mystery']",141,7.1,60
Bird Box,(2018),34,"['Horror', ' Mystery', ' Sci-Fi']",124,6.6,51
The Predator,(2018),35,"['Action', ' Adventure', ' Sci-Fi']",107,5.3,48
Climax,(I) (2018),36,"['Drama', ' Horror', ' Music']",97,6.9,67
Ocean's Eight,(2018),37,"['Action', ' Comedy', ' Crime']",110,6.3,61
Solo: A Star Wars Story,(2018),38,"['Action', ' Adventure', ' Sci-Fi']",135,6.9,62
Mid90s,(2018),39,"['Comedy', ' Drama']",85,7.3,66
Capernaum,(2018),40,['Drama'],126,8.4,75
The Meg,(2018),41,"['Action', ' Horror', ' Sci-Fi']",113,5.6,46
Vice,(I) (2018),42,"['Biography', ' Comedy', ' Drama']",132,7.2,61
Fantastic Beasts: The Crimes of Grindelwald,(2018),43,"['Adventure', ' Family', ' Fantasy']",134,6.5,52
Beautiful Boy,(I) (2018),44,"['Biography', ' Drama']",120,7.3,62
Crazy Rich Asians,(2018),45,"['Comedy', ' Drama', ' Romance']",120,6.9,74
Creed II,(2018),46,"['Drama', ' Sport']",130,7.1,66
Halloween,(I) (2018),47,"['Crime', ' Horror', ' Thriller']",106,6.5,67
Tomb Raider,(2018),48,"['Action', ' Adventure', ' Fantasy']",119,6.3,48
The Nun,(2018),49,"['Horror', ' Mystery', ' Thriller']",96,5.3,46
Tag,(I) (2018),50,"['Action', ' Comedy']",100,6.5,56
Black Panther,(2018),1,"['Action', ' Adventure', ' Sci-Fi']",134,7.3,88
Aquaman,(2018),2,"['Action', ' Adventure', ' Fantasy']",143,6.8,55
Avengers: Infinity War,(2018),3,"['Action', ' Adventure', ' Sci-Fi']",149,8.4,68
Deadpool 2,(2018),4,"['Action', ' Adventure', ' Comedy']",119,7.7,66
Hereditary,(2018),5,"['Drama', ' Horror', ' Mystery']",127,7.3,87
The Grinch,(2018),6,"['Animation', ' Comedy', ' Family']",85,6.3,51
Suspiria,(I) (2018),7,"['Drama', ' Fantasy', ' Horror']",152,6.7,64
Mile 22,(2018),8,"['Action', ' Thriller']",94,6.1,38
Spider-Man: Into the Spider-Verse,(2018),9,"['Animation', ' Action', ' Adventure']",117,8.4,87
Green Book,(2018),10,"['Biography', ' Comedy', ' Drama']",130,8.2,69
Ready Player One,(2018),11,"['Action', ' Adventure', ' Sci-Fi']",140,7.4,64
Venom,(2018),12,"['Action', ' Adventure', ' Sci-Fi']",112,6.6,35
A Quiet Place,(2018),13,"['Drama', ' Horror', ' Sci-Fi']",90,7.5,82
