Adresse,Prix,Ville,Région,Chambres,Salles_de_bain,Salles_d_eau,Étages,Aire_habitable,Taille_terrain,Taxes_municipales,Taxes_scolaires,Électricité,Assurances
"9940, boulevard Gouin Est",749000,Rivière des Prairies,Montréal / l'Île,3.0,1.0,2.0,2.0,,10837.0,395300.0,44600.0,,
"2, Grand Rang",110000,Pont-Rouge,Portneuf,,,,,,14000.0,110000.0,,,
"135, route 170",269000,L'Anse-St-Jean,Saguenay-Lac-Saint-Jean,4.0,2.0,,,,,273200.0,9100.0,18700.0,120200.0
"401-4860, rue Harry-Worth",340000,Pierrefonds / Roxboro,Montréal / l'Île,2.0,1.0,,1.0,990.0,,178000.0,20000.0,,
"20, chemin Marks",50000,Gracefield,Outaouais,,,,,,4000.0,30000.0,4000.0,,
"1312, rue de Jouvence",325000,Val-Bélair,Québec Rive-Nord,3.0,1.0,1.0,2.0,1340.0,4553.0,202700.0,15800.0,153200.0,92800.0
"2903, RUE DES OPALES",350000,Sherbrooke (Fleurimont),Estrie,3.0,2.0,,1.0,884.0,,255206.0,18633.0,145600.0,
"31, rue de Dieppe",415000,Gatineau (Gatineau),Outaouais,2.0,1.0,1.0,1.0,866.0,6000.0,291000.0,33200.0,,
"419, De la tramontane",550000,St-Jean-sur-Richelieu (St-Luc),Montérégie (Rive-Sud Montréal),6.0,2.0,,1.0,1417.0,,318808.0,39475.0,200000.0,78798.0
", Chemin des Guides",249900,Rivière-Rouge,Laurentides,,,,,,153251.0,,,,
"105, Chemin Raymond",499900,Val-Des-Bois,Outaouais,2.0,1.0,,1.0,1459.0,,,,60000.0,85000.0
"5, AV 38E",389000,Bois-Des-Filion,Laurentides,2.0,1.0,,1.0,,,201800.0,15500.0,,
Rue Rainbow,150000,Gore,Laurentides,,,,,,,,,,
"C-176, boulevard de l'Hôtel de Ville",228450,Rivière-Du-Loup,Bas-Saint-Laurent,2.0,1.0,,1.0,931.0,,219300.0,11600.0,89000.0,
"4526, rue des Patriotes - Par Habitations Fontaine",580000,Contrecoeur,Montérégie (Rive-Sud Montréal),3.0,2.0,,,,,,,,
"268, rue de la Corniche",655000,St-Nicolas,Québec Rive-Sud (Lévis),2.0,2.0,,2.0,2327.0,19221.0,475200.0,49000.0,,
"1681-1683, avenue de l'Église",775000,Le Sud-Ouest,Montréal / l'Île,3.0,2.0,,,,2740.0,342250.0,41452.0,160000.0,
"1417, rue Guy Laviolette",354000,Cap-Rouge,Québec Rive-Nord,4.0,1.0,2.0,2.0,,,298475.0,27443.0,,
"6648, rue Garnier",975000,Rosemont / La Petite Patrie,Montréal / l'Île,2.0,2.0,1.0,1.0,1650.0,3295.0,,,,
"265, rue Jonette",475000,St-Étienne-Des-Gres,Mauricie,5.0,3.0,,2.0,3666.0,,398521.0,37195.0,231320.0,351100.0
"273, route du Président-Kennedy",410000,Scott,Chaudière-Appalaches,3.0,1.0,,1.0,1380.0,15969.0,,,88200.0,60277.0
