Adresse,Prix,Ville,Région,Chambres,Salles de bain,Salles d'eau,Étages,Aire habitable,Taille terrain,Taxes municipales,Taxes scolaires,Électricité,Assurances
chemin des Chatons,"0,25$",Lantier,Laurentides,-1,-1,-1,-1,-1,"3,700,000",-1,-1,-1,-1
chemin Lamoureux,"0,25$",Ste-Julienne,Lanaudière,-1,-1,-1,-1,-1,"1,429,232.03",-1,-1,-1,-1
route de la Normandie,"0,25$",Montmagny,Chaudière-Appalaches,-1,-1,-1,-1,-1,"34,000","400,00$",-1,-1,-1
chemin Keenan,"0,48$",Melbourne,Estrie,-1,-1,-1,-1,-1,"3,280,068",-1,-1,-1,-1
route de la Traverse,"0,64$",Lac-Aux-Sables,Mauricie,-1,-1,-1,-1,-1,150500,-1,-1,-1,-1
montée Tessier,"0,75$",Lac-Des-Ecorces,Laurentides,-1,-1,-1,-1,-1,"119,587","448,00$","22,00$",-1,-1
"307, rue du Condor","0,85$",St-Calixte,Lanaudière,-1,-1,-1,-1,-1,"74,000",-1,-1,-1,-1
rue du Domaine,1$,Lamarche,Saguenay-Lac-Saint-Jean,-1,-1,-1,-1,-1,"23,000",-1,-1,-1,-1
chemin de la Belle-Montagne - Domaine Gadoury,1$,St-Jean-De-Matha,Lanaudière,-1,-1,-1,-1,-1,"40,000",-1,-1,-1,-1
"2479, chemin Bellerive",1$,Carignan,Montérégie (Rive-Sud Montréal),3,1,-1,1,700,10375,"1194,86$","138,60$",-1,-1
rue de la Tourbière,1$,Ste-Catherine-de-la-JC,Québec Rive-Nord,-1,-1,-1,-1,-1,"10,500",-1,-1,-1,-1
"1655, rue Rathier",1$,Trois-Rivières (Trois-Rivières),Mauricie,3,2,-1,2,"2,750","14,412","7670,00$","350,00$","3576,00$","800,00$"
"548, Chemin de Desserte N",1$,Villeroy,Centre-du-Québec,-1,-1,-1,-1,-1,"500,000",-1,-1,-1,-1
", chemin de L'île Grandbois","1,20$",St-Casimir,Portneuf,-1,-1,-1,-1,-1,"667,362.45","141,12$",-1,-1,-1
rue de Jouvence,"1,35$",Eastman,Estrie,-1,-1,-1,-1,-1,"751,515",-1,-1,-1,-1
rue Honoré,"1,50$",St-Honore-De-Chicoutimi,Saguenay-Lac-Saint-Jean,-1,-1,-1,-1,-1,"35,000",-1,-1,-1,-1
"3848, rue Principale","1,50$",Dunham,Estrie,-1,-1,-1,-1,-1,"933,038",-1,-1,-1,-1
chemin des Petites-Terres,2$,Trois-Rivières (Trois-Rivières),Mauricie,-1,-1,-1,-1,-1,"319,865.74",-1,-1,-1,-1
Montée 305,"2,25$",Montmagny,Chaudière-Appalaches,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"5, Gérard-Fontaine","2,50$",Val-Alain,Chaudière-Appalaches,-1,-1,-1,-1,-1,"1,600,050,000",-1,-1,-1,-1
"895, route du Lac Ouest","2,50$",Alma,Saguenay-Lac-Saint-Jean,-1,-1,-1,-1,-1,"2,000,000",-1,-1,-1,-1
L'arrondissement du boisé,"2,85$",Ste-Agathe-de-Lotbinière,Chaudière-Appalaches,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
rue Savard,3$,Desbiens,Saguenay-Lac-Saint-Jean,-1,-1,-1,-1,-1,"8,000",-1,-1,-1,-1
", boulevard Sainte-Anne",3$,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,-1,-1,-1,-1,-1,"42,225.74","1300,47$","44,15$",-1,-1
", boulevard Sainte-Anne",3$,Rimouski (Pointe-Au-Père),Bas-Saint-Laurent,-1,-1,-1,-1,-1,"62,034.57","1553,18$","57,88$",-1,-1
rue Christophe Colomb,"3,25$",Black Lake,Chaudière-Appalaches,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
", rue des Anthuriums","3,92$",Ste-Catherine-De-Hatley,Estrie,-1,-1,-1,-1,-1,98328,"259,94$",-1,-1,-1
rang des Pointes,4$,St-Flavien,Chaudière-Appalaches,-1,-1,-1,-1,-1,465x196,-1,-1,-1,-1
", rue Laurier","4,15$",St-Apollinaire,Chaudière-Appalaches,-1,-1,-1,-1,-1,"647,718",-1,-1,-1,-1
", côte des Pionniers","4,30$",Beaumont,Chaudière-Appalaches,-1,-1,-1,-1,-1,"30,769.71",-1,-1,-1,-1
