idFilm,titreFilm,duree,genresListe,dateSortie,utilisateurNote,nbreUtilisateurVote
1825683,Black Panther,134,"Action, Adventure, Sci-Fi",2018-02-16,7.3,"762,371"
7784604,Hereditary,127,"Drama, Horror, Mystery",2018-06-08,7.3,"315,114"
4560436,Mile 22,94,"Action, Thriller",2018-08-17,6.1,"80,319"
4154756,Avengers: Infinity War,149,"Action, Adventure, Sci-Fi",2018-04-27,8.4,"1,071,036"
1034415,Suspiria,152,"Drama, Fantasy, Horror",2018-11-02,6.7,"79,179"
5083738,The Favourite,119,"Biography, Comedy, Drama",2018-12-21,7.5,"200,891"
1677720,Ready Player One,140,"Action, Adventure, Sci-Fi",2018-03-29,7.4,"435,405"
5463162,Deadpool 2,119,"Action, Adventure, Comedy",2018-05-18,7.7,"579,903"
4633694,Spider-Man: Into the Spider-Verse,117,"Animation, Action, Adventure",2018-12-14,8.4,"523,426"
1843303,The VelociPastor,75,"Action, Adventure, Comedy",2019-08-13,5,"6,46"
6644200,A Quiet Place,90,"Drama, Horror, Sci-Fi",2018-04-06,7.5,"527,128"
6966692,Green Book,130,"Biography, Comedy, Drama",2018-11-21,8.2,"488,119"
1477834,Aquaman,143,"Action, Adventure, Fantasy",2018-12-21,6.8,"473,02"
1502407,Halloween,106,"Crime, Horror, Thriller",2018-10-19,6.5,"156,076"
2798920,Annihilation,115,"Adventure, Drama, Horror",2018-02-23,6.8,"326,67"
1727824,Bohemian Rhapsody,134,"Biography, Drama, Music",2018-11-02,7.9,"537,077"
2709692,The Grinch,85,"Animation, Comedy, Family",2018-11-09,6.3,"70,926"
6998518,Mandy,121,"Action, Fantasy, Horror",2018-09-14,6.5,"80,066"
4912910,Mission: Impossible - Fallout,147,"Action, Adventure, Thriller",2018-07-27,7.7,"332,727"
5160938,Lizzie,105,"Biography, Crime, Drama",2018-09-14,5.9,"8,132"
2873282,Red Sparrow,140,"Action, Drama, Thriller",2018-03-02,6.6,"187,063"
1365519,Tomb Raider,119,"Action, Adventure, Fantasy",2018-03-16,6.3,"215,145"
6412452,The Ballad of Buster Scruggs,133,"Comedy, Drama, Musical",2018-11-16,7.3,"148,368"
6628394,Bad Times at the El Royale,141,"Crime, Drama, Mystery",2018-10-12,7.1,"151,082"
4532826,Robin Hood,116,"Action, Adventure, Drama",2018-11-21,5.3,"74,457"
7959500,The Farm,80,Horror,2019-12-19,3.7,"3,294"
1270797,Venom,112,"Action, Adventure, Sci-Fi",2018-10-05,6.6,"483,816"
3829266,The Predator,107,"Action, Adventure, Sci-Fi",2018-09-14,5.3,"134,47"
4642192,Trautmann,120,"Biography, Drama, Romance",2019-03-14,7.2,"5,412"
6911608,Mamma Mia! Here We Go Again,114,"Comedy, Musical, Romance",2018-07-20,6.6,"96,086"
3104988,Crazy Rich Asians,120,"Comedy, Drama, Romance",2018-08-15,6.9,"173,129"
1517451,A Star Is Born,136,"Drama, Music, Romance",2018-10-05,7.6,"383,575"
6533240,Night Hunter,98,"Action, Thriller",2019-08-08,5.9,"23,473"
4123430,Fantastic Beasts: The Crimes of Grindelwald,134,"Adventure, Family, Fantasy",2018-11-16,6.5,"283,151"
4218572,Widows,129,"Crime, Drama, Thriller",2018-11-16,6.8,"98,333"
3778644,Solo: A Star Wars Story,135,"Action, Adventure, Sci-Fi",2018-05-25,6.9,"346,61"
5814060,The Nun,96,"Horror, Mystery, Thriller",2018-09-07,5.3,"141,987"
